_id,created,name.first_name,name.last_name,register_num,Татварын тооцоолол жилээр.Жилийн нийт орлого,Татварын тооцоолол жилээр.Нийт суутгуулсан албан татварын дүн,Татварын тооцоолол жилээр.Ногдуулсан татвар,Татварын тооцоолол жилээр.Ногдуулсан татварын хувь хэмжээ,Татварын тооцоолол жилээр.Орлого хүлээн авсан сарын тоо /ажилласан сар/,Татварын тооцоолол жилээр.Сарын дундаж,Татварын тооцоолол жилээр.Татвар ногдуулах орлого,Татварын тооцоолол жилээр.Хуулийн 23,Татварын тооцоолол жилээр.Хуулийн 7,Татварын тооцоолол жилээр.Хөнгөлөлтийн дараах татварын дүн,"Татварын тооцоолол жилээр.ЭМД, НДШ Дүн","Татварын тооцоолол жилээр.ЭМД, НДШ Хувь","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Ажил олгогчийн төлөх хувь хэмжээ","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Даатгуулагчийн төлөх хувь хэмжээ","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.НДШ хувь хэмжээ","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Ногдуулсан шимтгэл/төгрөг/ - Нийт дүн","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Хөдөлмөрийн хөлс,түүнтэй адилтгах орлого /төгрөг/","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Үүнээс : Ажил олгогч","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Үүнээс : Даатгуулагч"
12,2022-09-18T17:33:16.000Z,Ариунжаргал,Азжаргал,ЧО81091064,1800000,1575000,159300,10,12,1800000,1593000,,,1575000,207000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
13,2022-01-08T00:10:04.000Z,Эрдэнэсугар,Одцэрэн,УМ89120908,7500000,6583500,663750,10,12,2500000,6637500,,,6583500,862500,11.5,13.5,11.5,25,625000,2500000,337500,287500
14,2022-06-15T05:18:52.000Z,Саранцацрал,Энхбаатар,ЙК91063019,1000000,867000,88500,10,12,1000000,885000,,,867000,115000,11.5,13.5,11.5,25,250000,1000000,135000,115000
15,2022-09-03T19:54:32.000Z,Энхбаатар,Тунгалагмөрөн,АМ95121733,72000000,63396000,6372000,10,12,4000000,63720000,,,63396000,8280000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
16,2022-03-25T17:43:50.000Z,Саранцацрал,Сарангэрэл,ЙМ80013011,4000000,3522000,354000,10,12,4000000,3540000,,,3522000,460000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
17,2022-04-05T07:38:26.000Z,Батсайхан,Эрдэнэсугар,РЮ74080802,2400000,2070000,212400,10,12,800000,2124000,,,2070000,276000,11.5,13.5,11.5,25,200000,800000,108000,92000
18,2022-05-21T21:31:59.000Z,Мөнхгэрэл,Эрдэнэчимэг,ВЭ86031762,75600000,66258000,6690600,10,12,2100000,66906000,,,66258000,8694000,11.5,13.5,11.5,25,525000,2100000,283500,241500
19,2022-08-24T06:55:01.000Z,Ариунаа,Батсайхан,РЦ95091515,4000000,3522000,354000,10,12,4000000,3540000,,,3522000,460000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
20,2022-11-28T11:57:50.000Z,Саранцацрал,Саранцацрал,ТЯ87011512,24000000,20808000,2124000,10,12,1000000,21240000,,,20808000,2760000,11.5,13.5,11.5,25,250000,1000000,135000,115000
21,2022-03-30T08:13:08.000Z,Алдаржавхлан,Энхбаяр,НШ84042064,37800000,33129000,3345300,10,12,2100000,33453000,,,33129000,4347000,11.5,13.5,11.5,25,525000,2100000,283500,241500
22,2022-04-30T12:00:49.000Z,Энх-Амгалан,Эрдэнэсугар,УХ90041574,4500000,3928500,398250,10,12,1500000,3982500,,,3928500,517500,11.5,13.5,11.5,25,375000,1500000,202500,172500
23,2022-06-30T22:07:20.000Z,Энх-Амгалан,Мөнхбаатар,УП96052704,24000000,20808000,2124000,10,12,1000000,21240000,,,20808000,2760000,11.5,13.5,11.5,25,250000,1000000,135000,115000
24,2022-10-27T18:56:21.000Z,Энхбаатар,Ариунаа,НВ91050606,120000000,105768000,10620000,10,12,5000000,106200000,,,105768000,13800000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
25,2022-06-18T09:24:43.000Z,Бадамгарав,Однаран,ЧЕ73071106,7500000,6583500,663750,10,12,2500000,6637500,,,6583500,862500,11.5,13.5,11.5,25,625000,2500000,337500,287500
26,2022-08-19T05:38:40.000Z,Однаран,Ариунаа,МК84060102,50400000,44172000,4460400,10,12,2100000,44604000,,,44172000,5796000,11.5,13.5,11.5,25,525000,2100000,283500,241500
27,2022-06-01T13:33:44.000Z,Сарангэрэл,Ариунжаргал,МЭ78021613,24000000,20808000,2124000,10,12,1000000,21240000,,,20808000,2760000,11.5,13.5,11.5,25,250000,1000000,135000,115000
28,2022-08-06T06:56:40.000Z,Мөнхбаатар,Алдаржавхлан,МЭ78021613,2500000,2194500,221250,10,12,2500000,2212500,,,2194500,287500,11.5,13.5,11.5,25,625000,2500000,337500,287500
29,2022-05-04T06:04:02.000Z,Ариунаа,Сарангэрэл,УШ94021959,3000000,2637000,265500,10,12,3000000,2655000,,,2637000,345000,11.5,13.5,11.5,25,750000,3000000,405000,345000
30,2022-12-23T06:37:36.000Z,Янжмаа,Алдаржавхлан,ИН89040106,36000000,31428000,3186000,10,12,1500000,31860000,,,31428000,4140000,11.5,13.5,11.5,25,375000,1500000,202500,172500
31,2022-10-24T11:05:49.000Z,Саранцацрал,Цэрэн,УШ91050511,12600000,11043000,1115100,10,12,2100000,11151000,,,11043000,1449000,11.5,13.5,11.5,25,525000,2100000,283500,241500
32,2022-10-05T14:46:48.000Z,Саранцацрал,Буянт,ДЭ86060604,1500000,1309500,132750,10,12,1500000,1327500,,,1309500,172500,11.5,13.5,11.5,25,375000,1500000,202500,172500
33,2022-08-14T15:21:04.000Z,Однаран,Тунгалагмөрөн,МК84060102,144000000,126792000,12744000,10,12,4000000,127440000,,,126792000,16560000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
34,2022-10-15T23:26:50.000Z,Азжаргал,Азжаргал,ОЗ01281118,50400000,44172000,4460400,10,12,2100000,44604000,,,44172000,5796000,11.5,13.5,11.5,25,525000,2100000,283500,241500
35,2022-07-01T05:39:36.000Z,Эрдэнэчимэг,Азжаргал,СЭ87010200,21600000,18900000,1911600,10,12,1800000,19116000,,,18900000,2484000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
36,2022-06-07T10:35:09.000Z,Энх-Амгалан,Эрдэнэсугар,БЭ83081400,5400000,4725000,477900,10,12,1800000,4779000,,,4725000,621000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
37,2022-09-12T18:10:10.000Z,Однаран,Азжаргал,СЭ87010200,180000000,158652000,15930000,10,12,5000000,159300000,,,158652000,20700000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
38,2022-04-18T10:02:54.000Z,Эрдэнэчимэг,Мөнхбаатар,СЭ87010200,12000000,10404000,1062000,10,12,1000000,10620000,,,10404000,1380000,11.5,13.5,11.5,25,250000,1000000,135000,115000
39,2022-06-03T21:28:49.000Z,Цэрэн,Янжмаа,УШ91050511,24000000,20808000,2124000,10,12,1000000,21240000,,,20808000,2760000,11.5,13.5,11.5,25,250000,1000000,135000,115000
40,2022-06-17T16:24:41.000Z,Батсайхан,Энх-Амгалан,ПБ96052405,96000000,84528000,8496000,10,12,4000000,84960000,,,84528000,11040000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
41,2022-10-26T06:07:24.000Z,Мөнхгэрэл,Бадамгарав,ЧН84030714,28800000,24840000,2548800,10,12,800000,25488000,,,24840000,3312000,11.5,13.5,11.5,25,200000,800000,108000,92000
42,2022-08-18T14:38:01.000Z,Батсайхан,Однаран,УС83022014,96000000,84528000,8496000,10,12,4000000,84960000,,,84528000,11040000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
43,2022-03-22T02:16:18.000Z,Тунгалагмөрөн,Батсайхан,ЧМ87012167,9000000,7911000,796500,10,12,3000000,7965000,,,7911000,1035000,11.5,13.5,11.5,25,750000,3000000,405000,345000
44,2022-04-22T12:48:14.000Z,Алдаржавхлан,Мөнхгэрэл,ТГ88112521,19200000,16560000,1699200,10,12,800000,16992000,,,16560000,2208000,11.5,13.5,11.5,25,200000,800000,108000,92000
45,2022-09-27T06:09:03.000Z,Буянт,Янжмаа,ОК97021904,3000000,2637000,265500,10,12,3000000,2655000,,,2637000,345000,11.5,13.5,11.5,25,750000,3000000,405000,345000
46,2022-01-31T12:03:14.000Z,Алдаржавхлан,Энх-Амгалан,МЛ67042618,15000000,13221000,1327500,10,12,5000000,13275000,,,13221000,1725000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
47,2022-04-30T02:09:25.000Z,Энхбаатар,Долгор,ЧО85071915,30000000,26442000,2655000,10,12,5000000,26550000,,,26442000,3450000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
48,2022-11-08T15:19:37.000Z,Бадамгарав,Бадамгарав,ИЗ82031636,5400000,4725000,477900,10,12,1800000,4779000,,,4725000,621000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
49,2022-10-19T10:02:34.000Z,Саранцацрал,Однаран,ШГ78081961,3000000,2637000,265500,10,12,3000000,2655000,,,2637000,345000,11.5,13.5,11.5,25,750000,3000000,405000,345000
50,2022-09-07T15:22:46.000Z,Тунгалагмөрөн,Мөнхбаатар,ТЕ87092064,12600000,11043000,1115100,10,12,2100000,11151000,,,11043000,1449000,11.5,13.5,11.5,25,525000,2100000,283500,241500
51,2022-09-15T07:18:22.000Z,Мөнхгэрэл,Мөнхгэрэл,ЧМ87012167,14400000,12420000,1274400,10,12,800000,12744000,,,12420000,1656000,11.5,13.5,11.5,25,200000,800000,108000,92000
52,2022-03-07T23:14:04.000Z,Долгор,Энхбаатар,НЭ91041031,72000000,63288000,6372000,10,12,3000000,63720000,,,63288000,8280000,11.5,13.5,11.5,25,750000,3000000,405000,345000
53,2022-12-26T15:44:49.000Z,Саранцацрал,Сарангэрэл,БЭ83081400,1500000,1309500,132750,10,12,1500000,1327500,,,1309500,172500,11.5,13.5,11.5,25,375000,1500000,202500,172500
54,2022-08-02T19:53:12.000Z,Буянт,Мөнхгэрэл,ЙЭ84102205,1800000,1575000,159300,10,12,1800000,1593000,,,1575000,207000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
55,2022-02-09T01:38:01.000Z,Ариунжаргал,Энхбаатар,ЧТ57100401,30000000,26334000,2655000,10,12,2500000,26550000,,,26334000,3450000,11.5,13.5,11.5,25,625000,2500000,337500,287500
56,2022-10-02T00:08:02.000Z,Мөнхгэрэл,Буянт,РЦ95091515,1200000,1044000,106200,10,12,1200000,1062000,,,1044000,138000,11.5,13.5,11.5,25,300000,1200000,162000,138000
57,2022-11-18T18:55:51.000Z,Однаран,Эрдэнэсугар,ЗЮ97061004,3000000,2601000,265500,10,12,1000000,2655000,,,2601000,345000,11.5,13.5,11.5,25,250000,1000000,135000,115000
58,2022-11-01T14:11:32.000Z,Тунгалагмөрөн,Энх-Амгалан,ЧЙ83090377,96000000,84528000,8496000,10,12,4000000,84960000,,,84528000,11040000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
59,2022-08-26T10:45:17.000Z,Энхбаатар,Бадамгарав,ЙМ80013011,2100000,1840500,185850,10,12,2100000,1858500,,,1840500,241500,11.5,13.5,11.5,25,525000,2100000,283500,241500
60,2022-11-04T16:22:06.000Z,Бадамгарав,Ариунаа,ПЗ95050804,18000000,15822000,1593000,10,12,3000000,15930000,,,15822000,2070000,11.5,13.5,11.5,25,750000,3000000,405000,345000
61,2022-04-01T00:06:28.000Z,Алдаржавхлан,Энхбаатар,УМ90041922,12600000,11043000,1115100,10,12,2100000,11151000,,,11043000,1449000,11.5,13.5,11.5,25,525000,2100000,283500,241500
62,2022-12-04T16:36:50.000Z,Цэрэн,Ариунжаргал,ЙЭ84102205,3000000,2637000,265500,10,12,3000000,2655000,,,2637000,345000,11.5,13.5,11.5,25,750000,3000000,405000,345000
63,2022-11-24T21:10:26.000Z,Однаран,Азжаргал,УД92041626,1000000,867000,88500,10,12,1000000,885000,,,867000,115000,11.5,13.5,11.5,25,250000,1000000,135000,115000
64,2022-10-26T05:28:10.000Z,Янжмаа,Мөнхбаатар,ЧР79030120,1500000,1309500,132750,10,12,1500000,1327500,,,1309500,172500,11.5,13.5,11.5,25,375000,1500000,202500,172500
65,2022-03-06T08:21:27.000Z,Тунгалагмөрөн,Эрдэнэсугар,МЭ78021613,18000000,15714000,1593000,10,12,1500000,15930000,,,15714000,2070000,11.5,13.5,11.5,25,375000,1500000,202500,172500
66,2022-09-14T00:44:43.000Z,Цэвэлмаа,Алдаржавхлан,ЧО85071915,12000000,10404000,1062000,10,12,1000000,10620000,,,10404000,1380000,11.5,13.5,11.5,25,250000,1000000,135000,115000
67,2022-12-02T22:01:20.000Z,Ариунжаргал,Эрдэнэсугар,ОК97021904,6300000,5521500,557550,10,12,2100000,5575500,,,5521500,724500,11.5,13.5,11.5,25,525000,2100000,283500,241500
68,2022-09-16T16:53:33.000Z,Эрдэнэсугар,Энх-Амгалан,ЧТ75120307,6300000,5521500,557550,10,12,2100000,5575500,,,5521500,724500,11.5,13.5,11.5,25,525000,2100000,283500,241500
69,2022-11-04T20:55:59.000Z,Эрдэнэчимэг,Мөнхбаатар,ПБ96052405,120000000,105768000,10620000,10,12,5000000,106200000,,,105768000,13800000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
70,2022-07-21T12:19:35.000Z,Мөнхгэрэл,Мөнхгэрэл,ЦЕ84080366,90000000,79326000,7965000,10,12,5000000,79650000,,,79326000,10350000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
71,2022-05-14T01:30:35.000Z,Сарангэрэл,Энхбаяр,ЦЕ84080366,18000000,15606000,1593000,10,12,1000000,15930000,,,15606000,2070000,11.5,13.5,11.5,25,250000,1000000,135000,115000
72,2022-05-21T10:24:09.000Z,Бадамгарав,Янжмаа,УП96052704,2400000,2070000,212400,10,12,800000,2124000,,,2070000,276000,11.5,13.5,11.5,25,200000,800000,108000,92000
73,2022-06-03T12:57:09.000Z,Мөнхбаатар,Батсайхан,ЧР79030120,36000000,31212000,3186000,10,12,1000000,31860000,,,31212000,4140000,11.5,13.5,11.5,25,250000,1000000,135000,115000
74,2022-11-12T21:58:01.000Z,Эрдэнэсугар,Энхбаатар,РЦ95091515,1800000,1575000,159300,10,12,1800000,1593000,,,1575000,207000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
75,2022-01-27T21:44:26.000Z,Одцэрэн,Мөнхбаатар,ПИ85092000,21600000,18900000,1911600,10,12,1800000,19116000,,,18900000,2484000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
76,2022-04-11T14:45:58.000Z,Долгор,Однаран,УХ90041574,3000000,2637000,265500,10,12,3000000,2655000,,,2637000,345000,11.5,13.5,11.5,25,750000,3000000,405000,345000
77,2022-01-21T22:42:51.000Z,Энхбаатар,Бадамгарав,ЙМ80013011,5000000,4407000,442500,10,12,5000000,4425000,,,4407000,575000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
78,2022-03-21T20:37:07.000Z,Однаран,Янжмаа,ГЮ90101913,9000000,7911000,796500,10,12,3000000,7965000,,,7911000,1035000,11.5,13.5,11.5,25,750000,3000000,405000,345000
79,2022-10-27T13:22:25.000Z,Мөнхгэрэл,Тунгалагмөрөн,ЧР79030120,800000,690000,70800,10,12,800000,708000,,,690000,92000,11.5,13.5,11.5,25,200000,800000,108000,92000
80,2022-10-23T06:27:13.000Z,Буянт,Эрдэнэсугар,ТЕ87092064,54000000,47142000,4779000,10,12,1500000,47790000,,,47142000,6210000,11.5,13.5,11.5,25,375000,1500000,202500,172500
81,2022-01-18T21:38:40.000Z,Энхбаяр,Однаран,ПЗ95050804,96000000,84528000,8496000,10,12,4000000,84960000,,,84528000,11040000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
82,2022-02-27T00:15:21.000Z,Алдаржавхлан,Янжмаа,ЧЗ78072303,18000000,15822000,1593000,10,12,3000000,15930000,,,15822000,2070000,11.5,13.5,11.5,25,750000,3000000,405000,345000
83,2022-02-21T14:40:55.000Z,Сарангэрэл,Цэрэн,ГЮ90101913,7200000,6264000,637200,10,12,1200000,6372000,,,6264000,828000,11.5,13.5,11.5,25,300000,1200000,162000,138000
84,2022-06-24T11:29:48.000Z,Ариунжаргал,Цэвэлмаа,ЙК91063019,72000000,63396000,6372000,10,12,4000000,63720000,,,63396000,8280000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
85,2022-07-30T02:57:40.000Z,Ариунжаргал,Эрдэнэчимэг,ИЭ85012207,90000000,79002000,7965000,10,12,2500000,79650000,,,79002000,10350000,11.5,13.5,11.5,25,625000,2500000,337500,287500
86,2022-03-31T10:02:38.000Z,Долгор,Бадамгарав,УП88081636,21600000,18792000,1911600,10,12,1200000,19116000,,,18792000,2484000,11.5,13.5,11.5,25,300000,1200000,162000,138000
87,2022-05-30T07:42:28.000Z,Саранцацрал,Янжмаа,ЕЙ77042113,144000000,126792000,12744000,10,12,4000000,127440000,,,126792000,16560000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
88,2022-08-12T05:17:53.000Z,Янжмаа,Цэвэлмаа,ЗЮ84092117,3600000,3132000,318600,10,12,1200000,3186000,,,3132000,414000,11.5,13.5,11.5,25,300000,1200000,162000,138000
89,2022-11-04T17:25:10.000Z,Ариунаа,Цэрэн,ЕЙ77042113,18000000,15822000,1593000,10,12,3000000,15930000,,,15822000,2070000,11.5,13.5,11.5,25,750000,3000000,405000,345000
90,2022-09-15T20:28:45.000Z,Азжаргал,Долгор,РЦ95091515,96000000,84528000,8496000,10,12,4000000,84960000,,,84528000,11040000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
91,2022-07-19T22:40:29.000Z,Алдаржавхлан,Буянт,ЧМ87012167,180000000,158652000,15930000,10,12,5000000,159300000,,,158652000,20700000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
92,2022-07-04T05:55:19.000Z,Долгор,Буянт,ТД85091402,14400000,12528000,1274400,10,12,1200000,12744000,,,12528000,1656000,11.5,13.5,11.5,25,300000,1200000,162000,138000
93,2022-04-08T00:46:13.000Z,Одцэрэн,Саранцацрал,ЧР79030120,6300000,5521500,557550,10,12,2100000,5575500,,,5521500,724500,11.5,13.5,11.5,25,525000,2100000,283500,241500
94,2022-12-31T00:22:48.000Z,Энхбаяр,Долгор,СФ82052518,800000,690000,70800,10,12,800000,708000,,,690000,92000,11.5,13.5,11.5,25,200000,800000,108000,92000
95,2022-11-26T04:33:17.000Z,Долгор,Батсайхан,ТГ88112521,5000000,4407000,442500,10,12,5000000,4425000,,,4407000,575000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
96,2022-09-11T16:56:22.000Z,Азжаргал,Долгор,ЙМ80013011,72000000,63396000,6372000,10,12,4000000,63720000,,,63396000,8280000,11.5,13.5,11.5,25,1000000,4000000,540000,460000
97,2022-02-18T11:42:12.000Z,Сарангэрэл,Эрдэнэсугар,ЦЗ71061161,24000000,20808000,2124000,10,12,1000000,21240000,,,20808000,2760000,11.5,13.5,11.5,25,250000,1000000,135000,115000
98,2022-09-30T00:37:18.000Z,Цэрэн,Янжмаа,ЧТ75120307,36000000,31212000,3186000,10,12,1000000,31860000,,,31212000,4140000,11.5,13.5,11.5,25,250000,1000000,135000,115000
99,2022-02-26T08:29:51.000Z,Мөнхгэрэл,Ариунаа,ЧЙ83090377,36000000,31428000,3186000,10,12,1500000,31860000,,,31428000,4140000,11.5,13.5,11.5,25,375000,1500000,202500,172500
643f9416cdf2c0fcc4d442cd,2022-09-05T06:07:16.000Z,Ариунжаргал,Азжаргал,МЛ67042618,72000000,63612000,6372000,10,12,12000000,63720000,,,63612000,8280000,11.5,13.5,11.5,25,3000000,12000000,1620000,1380000
643f9416cdf2c0fcc4d442ce,2022-04-03T23:09:30.000Z,Однаран,Бадамгарав,ЗЮ97061004,45000000,39771000,3982500,10,12,15000000,39825000,,,39771000,5175000,11.5,13.5,11.5,25,3750000,15000000,2025000.0000000002,1725000
643f9416cdf2c0fcc4d442cf,2022-12-10T17:40:11.000Z,Энхбаатар,Эрдэнэсугар,ОК97021904,3000000,2637000,265500,10,12,3000000,2655000,,,2637000,345000,11.5,13.5,11.5,25,750000,3000000,405000,345000
643f9416cdf2c0fcc4d442d0,2022-06-19T15:19:54.000Z,Долгор,Долгор,ЧР79030120,90000000,79002000,7965000,10,12,2500000,79650000,,,79002000,10350000,11.5,13.5,11.5,25,625000,2500000,337500,287500
643f9416cdf2c0fcc4d442d1,2022-09-22T05:43:43.000Z,Ариунаа,Энх-Амгалан,ФБ96092526,90000000,79542000,7965000,10,12,15000000,79650000,,,79542000,10350000,11.5,13.5,11.5,25,3750000,15000000,2025000.0000000002,1725000
643f9416cdf2c0fcc4d442d2,2022-11-03T16:05:09.000Z,Ариунаа,Мөнхбаатар,КЮ77091501,36000000,31212000,3186000,10,12,1000000,31860000,,,31212000,4140000,11.5,13.5,11.5,25,250000,1000000,135000,115000
643f9416cdf2c0fcc4d442d3,2022-12-25T11:46:00.000Z,Эрдэнэсугар,Бадамгарав,СФ82052518,1200000,1044000,106200,10,12,1200000,1062000,,,1044000,138000,11.5,13.5,11.5,25,300000,1200000,162000,138000
643f9416cdf2c0fcc4d442d4,2022-04-10T01:01:35.000Z,Эрдэнэсугар,Бадамгарав,ШГ78081961,10800000,9450000,955800,10,12,1800000,9558000,,,9450000,1242000,11.5,13.5,11.5,25,450000,1800000,243000.00000000003,207000
643f9416cdf2c0fcc4d442d5,2022-01-07T18:29:32.000Z,Буянт,Долгор,ВЭ86031762,720000000,636552000,63720000,10,12,20000000,637200000,,,636552000,82800000,11.5,13.5,11.5,25,5000000,20000000,2700000,2300000
643f9416cdf2c0fcc4d442d6,2022-05-28T03:28:25.000Z,Долгор,Ариунаа,УМ89120908,45000000,39501000,3982500,10,12,2500000,39825000,,,39501000,5175000,11.5,13.5,11.5,25,625000,2500000,337500,287500
643f9416cdf2c0fcc4d442d7,2022-04-26T13:11:47.000Z,Янжмаа,Энх-Амгалан,НШ84042064,30000000,26496000,2655000,10,12,10000000,26550000,,,26496000,3450000,11.5,13.5,11.5,25,2500000,10000000,1350000,1150000
643f9416cdf2c0fcc4d442d8,2022-05-25T07:09:47.000Z,Ариунаа,Эрдэнэчимэг,УШ99072516,30000000,26334000,2655000,10,12,2500000,26550000,,,26334000,3450000,11.5,13.5,11.5,25,625000,2500000,337500,287500
643f9416cdf2c0fcc4d442d9,2022-11-22T20:39:43.000Z,Эрдэнэчимэг,Эрдэнэчимэг,ТА98091450,240000000,212184000,21240000,10,12,20000000,212400000,,,212184000,27600000,11.5,13.5,11.5,25,5000000,20000000,2700000,2300000
643f9416cdf2c0fcc4d442da,2022-10-28T16:49:19.000Z,Янжмаа,Эрдэнэсугар,ИЭ85012207,360000000,318168000,31860000,10,12,15000000,318600000,,,318168000,41400000,11.5,13.5,11.5,25,3750000,15000000,2025000.0000000002,1725000
643f9416cdf2c0fcc4d442db,2022-06-18T15:05:38.000Z,Цэвэлмаа,Однаран,НЭ91041031,6000000,5202000,531000,10,12,1000000,5310000,,,5202000,690000,11.5,13.5,11.5,25,250000,1000000,135000,115000
643f9416cdf2c0fcc4d442dc,2022-03-28T00:46:08.000Z,Однаран,Тунгалагмөрөн,ГЮ90101913,360000000,317952000,31860000,10,12,10000000,318600000,,,317952000,41400000,11.5,13.5,11.5,25,2500000,10000000,1350000,1150000
